hash,date,hour,author,type,area,subject
07d2f8b69,2026-08-26,8,Endy Muhardin,fix,deploy,fix(ansible): renamed cron entries left duplicates behind
218ad29e3,2026-08-26,7,Endy Muhardin,chore,build-other,chore: prepare for next development iteration
8b0598692,2026-08-26,5,Endy Muhardin,release,docs,release: bump version to 2026.08-RELEASE
af66e0e19,2026-08-26,5,Endy Muhardin,fix,test,fix(manual): 41 sections were written but never published
393d2f08e,2026-08-26,5,Endy Muhardin,fix,main-java,fix(scheduler): scheduled amortization could never post
a1bc62579,2026-08-26,5,Endy Muhardin,feat,main-java,feat(api): tax filing register for period-linked tax records (issue #35)
294dfefde,2026-08-25,21,Endy Muhardin,docs,build-other,"docs(container): move engine knowledge to shared notes, keep suite specifics"
c1b4d3504,2026-08-25,21,Endy Muhardin,docs,build-other,docs(container): kickstart socktainer after an engine upgrade
5c6596bab,2026-08-19,6,Endy Muhardin,docs,build-other,docs(container): record why Ryuk is disabled and what was ruled out
7cc3eb0d4,2026-08-18,7,Endy Muhardin,test,build-other,"test(tooling): flag host suspension during a run, not after it"
70e3710e0,2026-08-18,2,Endy Muhardin,test,build-other,"test: disable Ryuk locally, wrapper owns container cleanup"
ee3f4289f,2026-08-17,22,Endy Muhardin,test,build-other,test: bound context cache so Ryuk cannot reap a live session
9eacddc2b,2026-08-17,19,Endy Muhardin,test,test,"test(demo): surface dropped postings, make picker settle tunable"
aab17f447,2026-08-17,16,Endy Muhardin,test,build-other,test(tooling): instrument every suite run so the next incident is reportable
bfaa38f33,2026-08-17,13,Endy Muhardin,docs,build-other,docs(container): sleep during a test run is the real failure mode
744e44230,2026-08-17,12,Endy Muhardin,docs,build-other,docs(container): cite socktainer#359 and give the workaround a removal trigger
6e590267b,2026-08-17,12,Endy Muhardin,test,test,"test(containers): cap resources for every container, not just Postgres"
80d3e96f4,2026-08-16,20,Endy Muhardin,fix,build-other,fix(docker): repair image that could never start
f512ca518,2026-08-16,20,Endy Muhardin,build,frontend,"build(deps): update to latest stable, add actuator"
e73ea8add,2026-08-16,20,Endy Muhardin,chore,build-other,chore(dev): switch local container runtime to Apple Container
f9eea0af7,2026-07-10,6,Endy Muhardin,fix,templates,fix(dashboard): keep leading zero in Rp juta amounts (minIntegerDigits)
45d697ec2,2026-07-09,22,Endy Muhardin,fix,test,fix(assets): persist autoPost on PUT /api/fixed-assets/{id} (issue #34)
73bea13a0,2026-07-09,21,Endy Muhardin,fix,main-java,fix(quality): clear SonarCloud new-code reliability bugs (gate: rating A)
439c0e3ae,2026-07-09,21,Endy Muhardin,fix,test,fix(assets): surface missing depreciation-template config error (issue #33)
339445a08,2026-07-09,14,Endy Muhardin,build,build-other,build(deps): pin logback-core 1.5.35 + jackson-databind 2.21.5 (CVE fixes)
025c66218,2026-07-09,6,Endy Muhardin,docs,build-other,docs(claude.md): record issues #28/#29/#31/#32 as complete
e53f09683,2026-07-09,6,Endy Muhardin,fix,main-java,"fix(assets): schedule-derived depreciation periods + catch-up and API (issues #31, #32)"
e93f66290,2026-07-09,6,Endy Muhardin,feat,main-java,feat(auth): OAuth2 client_credentials grant for unattended service posting (issue #28)
2b61c9f11,2026-07-09,6,Endy Muhardin,feat,test,feat(api): Idempotency-Key header on POST /api/transactions (issue #29)
5c8597ad4,2026-07-08,22,Endy Muhardin,fix,test,fix(test): raise Playwright default timeout 5s -> 15s
67f3e06c5,2026-07-08,21,Endy Muhardin,fix,test,fix(test): FixedAssetApiTest leaked assets referencing transactions
35c1092fc,2026-07-08,18,Endy Muhardin,refactor,main-java,refactor(sonar): eliminate new-code duplication and 10-parameter method
cc8637cb1,2026-07-08,17,Endy Muhardin,fix,templates,"fix(sonar): resolve SonarCloud bugs, blockers, criticals, and template label a11y findings"
6b6ffa64a,2026-07-08,14,Endy Muhardin,feat,main-java,feat(api): fixed-asset registration endpoints with auto-depreciation (issue #30)
5fd5a31a3,2026-06-16,12,Endy Muhardin,build,frontend,"build(deps): bump Spring Boot 4.0.6→4.1.0, drop redundant CVE pins, upgrade frontend libs"
72a07acce,2026-06-01,11,Endy Muhardin,docs,build-other,docs(claude.md): cherry-pick architecture + runtime notes from PR #26
4d84fae7c,2026-06-01,9,Endy Muhardin,chore,build-other,chore: prepare for next development iteration
c53c24a88,2026-06-01,9,Endy Muhardin,release,docs,release: bump version to 2026.06-RELEASE
ce8be1d4b,2026-06-01,6,Endy Muhardin,docs,docs,docs(user-manual): register DRAFT-by-default + Akun Posting in generator
f62b64a2a,2026-06-01,5,Endy Muhardin,docs,docs,docs(user-manual): document DRAFT-by-default + combobox UX + bridge accounts
fa560e346,2026-05-31,22,Endy Muhardin,feat,templates,feat(ui): convert remaining client/vendor selects to comboboxes
ab8a5d69e,2026-05-30,5,Endy Muhardin,feat,frontend,feat(ui): convert journal-entry-form to combobox per-line
baaf580eb,2026-05-29,21,Endy Muhardin,feat,test,feat(ui): convert client/vendor/account dropdowns to search comboboxes
a9892fd29,2026-05-29,11,Endy Muhardin,fix,main-java,fix(settings): add label fields to CompanyConfigForm for POST-error re-render
47df718ec,2026-05-29,9,Endy Muhardin,fix,test,fix(invoice): JsonIgnoreProperties on entities Jackson follows lazily
f17cc641b,2026-05-29,7,Endy Muhardin,fix,templates,fix(forms): replace COA <select>s with search combobox (≤10 results)
5fb29053a,2026-05-29,5,Endy Muhardin,fix,templates,fix(invoice): replace product dropdown with search combobox
ac6552dd0,2026-05-28,22,Endy Muhardin,feat,test,"feat(demo): populate invoices, vendors, and bills across demo instances"
2022a4a3d,2026-05-28,19,Endy Muhardin,fix,test,fix(#15): demo loader selects fundingAccount + checks autoPost on assets
a31102205,2026-05-28,16,Endy Muhardin,fix,test,fix(#15): closing entries stay POSTED; PaymentTracking/Statement use products
17698358b,2026-05-28,13,Endy Muhardin,feat,main-java,feat(production): DRAFT journal per BOM component on completion
1da642a93,2026-05-28,13,Endy Muhardin,feat,templates,feat(asset): fundingAccount + autoPost selectors on the asset form
a576bfdc2,2026-05-28,12,Endy Muhardin,feat,main-java,feat(asset): autoPost flag — depreciation scheduler honors opt-in
3c97032d8,2026-05-28,12,Endy Muhardin,refactor,main-java,refactor(closing): fiscal-year closing entries land as DRAFT for approval
2733aa3fb,2026-05-28,12,Endy Muhardin,refactor,main-java,refactor(inventory): inventory transactions create DRAFT journal (no auto-post)
2b3de3960,2026-05-28,12,Endy Muhardin,test,test,test(asset): set fundingAccount on assets in scheduler/persistence/controller tests
9ecb68007,2026-05-28,11,Endy Muhardin,test,test,test(asset): inject ChartOfAccountRepository + set fundingAccount in FixedAssetServiceTest
35a091ee1,2026-05-28,11,Endy Muhardin,feat,main-java,feat(asset): compose DRAFT acquisition journal on FixedAssetService.create
a790bb581,2026-05-28,11,Endy Muhardin,test,test,test(bill): include expenseAccountCode in approve/mark-paid API tests
81dffdb68,2026-05-28,6,Endy Muhardin,feat,main-java,feat(bill): recognize expense/payable as DRAFT journal on approval (R2)
dfa88b036,2026-05-28,6,Endy Muhardin,test,test,test(invoice): attach product to lifecycle invoice lines
6a1c024ca,2026-05-28,6,Endy Muhardin,test,seed-data,test(invoice): seed revenue template + config accounts for it-service
ae3263bd3,2026-05-28,5,Endy Muhardin,feat,main-java,feat(import): resolve company-config posting accounts post-import
dabb928b7,2026-05-28,4,Endy Muhardin,feat,main-java,feat(invoice): product/service picker on invoice lines
a54d3253f,2026-05-28,4,Endy Muhardin,test,test,test(invoice): verify revenue-recognition DRAFT bridge end-to-end
b4907f028,2026-05-28,4,Endy Muhardin,test,test,test(invoice): seed revenue-recognition template + config accounts
62bea756f,2026-05-28,0,Endy Muhardin,feat,main-java,feat(invoice): recognize revenue as DRAFT journal(s) on issue (R2)
95f4a2a91,2026-05-28,0,Endy Muhardin,feat,main-java,feat(posting): generic source-document link on transactions
b4c79298e,2026-05-27,23,Endy Muhardin,feat,main-java,feat(posting): reusable DocumentPostingService bridge helper
301275ce9,2026-05-27,23,Endy Muhardin,feat,templates,feat(config): company-settings UI for invoice/bill posting accounts
0b1ad90ee,2026-05-27,22,Endy Muhardin,ci,ci,ci: raise test step timeout 180→240 min
ac23a0413,2026-05-27,22,Endy Muhardin,fix,migrations,fix(migration): add company_config bridge-account FKs after chart_of_accounts
a3a534bd1,2026-05-27,22,Endy Muhardin,feat,main-java,feat(config): add invoice/bill posting-bridge accounts to CompanyConfig
9c6b79508,2026-05-27,16,Endy Muhardin,feat,main-java,feat(api): expose build version + commit id in OpenAPI info
46e81ca7a,2026-05-27,10,Endy Muhardin,docs,build-other,docs: update current release to 2026.05-RELEASE
90d1c19b2,2026-05-27,10,Endy Muhardin,chore,build-other,chore: prepare for next development iteration
93d146fa9,2026-05-27,9,Endy Muhardin,release,docs,release: bump version to 2026.05-RELEASE
a687d1d4d,2026-05-27,8,Endy Muhardin,ci,ci,ci: bump checkout/setup-java/upload-artifact to v5 for Node 24
d5019fbf0,2026-05-27,6,Endy Muhardin,fix,test,fix(test): make RecurringSchedulerTest date-independent
c6a4fb9e6,2026-05-26,21,Endy Muhardin,fix,build-other,"fix(deps): bump Spring Boot to 4.0.6, override Tomcat 11.0.22 + PostgreSQL 42.7.11"
7272149b0,2026-05-26,21,Endy Muhardin,test,test,test: let demo loaders target an external DB via demo.external-db
770dd9f62,2026-05-26,21,Endy Muhardin,feat,deploy,feat(deploy): emit app.demo-mode for demo instances
7bffc7558,2026-05-26,21,Endy Muhardin,fix,deploy,fix(deploy): install acl + id_ID.UTF-8 locale in common role
dc99570ce,2026-04-27,14,Endy Muhardin,fix,test,fix(manual): pass fiscal year 2025 date params to report screenshots
519d1e880,2026-04-19,17,Endy Muhardin,fix,main-java,fix(invoice): 500 on form re-render after validation error
13838315a,2026-04-19,15,Endy Muhardin,fix,test,fix(manual): sidebar independent scroll + rewrite .md cross-refs to .html
2e6976551,2026-04-19,12,Endy Muhardin,fix,main-java,"fix(BUG-020): rounding mode HALF_UP per PER-11/PJ/2025, preserve input line"
e89e9ddbe,2026-04-19,12,Endy Muhardin,fix,test,fix(BUG-019): absorb sub-rupiah rounding residual into largest line
c3648140e,2026-04-11,20,Endy Muhardin,docs,build-other,docs(examples): revision-1 fixes to agent-pipeline artifact
f2f2fc6f9,2026-04-11,19,Endy Muhardin,docs,build-other,docs(examples): add agent-pipeline companion artifact for IFESDC 2026 paper §3.5
0b881dca3,2026-04-11,4,Endy Muhardin,docs,build-other,docs: update current release to 2026.04-RELEASE
b6a55a2b8,2026-04-11,4,Endy Muhardin,chore,build-other,chore: prepare for next development iteration
5a0cc52c3,2026-04-11,4,Endy Muhardin,release,docs,release: bump version to 2026.04-RELEASE
e2e146c0a,2026-04-10,22,Endy Muhardin,fix,test,fix(test): DataImportApiTest dirties context after reimporting seed data
f547f6698,2026-04-10,17,Endy Muhardin,fix,build-other,fix: add SetupController to SpotBugs CRLF_INJECTION_LOGS exclusions
a2c0977bf,2026-04-10,16,Endy Muhardin,fix,main-java,fix: SpotBugs CRLF_INJECTION_LOGS in SetupController
1206ec728,2026-04-10,5,Endy Muhardin,feat,main-java,feat: first-run setup wizard
e039eb42a,2026-04-09,21,Endy Muhardin,fix,migrations,fix: ON DELETE SET NULL on recurring_transaction_logs.id_transaction
14368fc29,2026-04-09,20,Endy Muhardin,fix,test,fix(test): ServiceReportsTest cleanup misses recurring_transaction_logs
4e69cfaf8,2026-04-09,18,Endy Muhardin,fix,test,fix(manual): return full file when section has no siblings
38c811b6e,2026-04-09,18,Endy Muhardin,docs,docs,"docs: mark Docker image as published, note arm64 follow-up"
e8b864d76,2026-04-09,13,Endy Muhardin,fix,ci,"fix(ci): build amd64 only, drop arm64 for now"
edb2b8bb6,2026-04-09,13,Endy Muhardin,fix,ci,fix(ci): publish-manual missed OnlineSellerVerificationTest
e3f683576,2026-04-09,6,Endy Muhardin,docs,docs,docs: add industry-distinctive screenshots to seller/coffee/campus tutorials
9b098fa69,2026-04-09,6,Endy Muhardin,fix,build-other,fix(docker): copy .git into build stage for git-commit-id-maven-plugin
a4ead29ef,2026-04-09,6,Endy Muhardin,fix,ci,fix(ci): docker-publish workflow validation errors
f33134363,2026-04-09,6,Endy Muhardin,other,ci,add Docker image build with multi-stage Dockerfile and CI publish workflow
8eda73645,2026-04-09,4,Endy Muhardin,fix,test,fix: screenshot test navigates to correct SPT checklist URL
88d155dc4,2026-04-08,15,Endy Muhardin,fix,docs,"fix: docs index links point to actual HTML pages, not dead fragments"
7d9ac043b,2026-04-04,16,Endy Muhardin,fix,build-other,"fix: update jackson-core 3.1.0→3.1.1, 2.21.1→2.21.2"
61727e386,2026-04-04,16,Endy Muhardin,other,docs,add 49 screenshots to tutorials and fix 4 broken tables
5de45dc9b,2026-04-03,23,Endy Muhardin,fix,docs,fix: last broken image — device-sessions.png path in setup-awal markdown
72b0fbec7,2026-04-03,21,Endy Muhardin,fix,test,fix: generate all 21 missing screenshots for user manual
99cdbdda3,2026-04-03,21,Endy Muhardin,fix,docs,fix: remove broken image reference in tutorial setup guide
d4f66150f,2026-04-03,16,Endy Muhardin,fix,test,fix: ScreenshotCaptureTest for multi-page manual generator
b1a52da1b,2026-04-03,12,Endy Muhardin,fix,test,fix: resolve 20 SonarCloud issues (18 BLOCKER + 2 CRITICAL)
1ba529a94,2026-04-03,11,Endy Muhardin,refactor,test,refactor: split documentation into multi-page site
bc7b763cb,2026-04-03,10,Endy Muhardin,fix,docs,fix: landing page links use #section-id anchors instead of file paths
b51f51e58,2026-04-03,4,Endy Muhardin,docs,docs,docs: complete documentation restructure for 5 audiences
f7fdd14b5,2026-04-03,0,Endy Muhardin,other,test,add documentation landing page and restructure generator for 5 audiences
